sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
amzn.gr.7Q-22RC-QHQC-kWfBko2Qi6M1hiqf-LN	B08GD325J7	16.16		16.0	fixed	5	15.36																	false
08-1O12-WH2V	B09V1DKP1J	29.99		29.9	percent	10	5.00																	false
1E-2WNT-VCHB	B08GJ8M75C	17.99		4.9																				false
2I-PB7C-OYPH_FBM	B09BZLK44P	26.99		26.9																				false
8L-J0EW-DRZI	B08XFXNKXW	15.99		15.9																				false
AH-SVFG-MP9L	B08GJ7QG6P	29.99		9.9																				false
GR-J00B-A8DI	B08GFVCVXY	12.99		12.9																				false
IT-JXWS-5JZ0_FBM	B09BZJJDRZ	23.99		23.9																				false
OC-ACE8-LSG3	B08GH8HFL2	17.99		5.4																				false
PR-QMQ2-QAYU	B09V1GRNVJ	19.20		17.9																				false
QE-MEHE-24RU	B08GFW35VD	17.49		17.4																				false
amzn.gr.GJ-6IO8-W0G9-Uhpr9uQHJA1M-CXj-VG	B07ZPBVDLY	26.87		26.6	fixed	5	25.53																	
amzn.gr.GJ-6IO8-W0G9-c65-V6bg88QEJ4BT-VG	B07ZPBVDLY	26.87		26.6	fixed	5	25.53																	
amzn.gr.TO-VTNJ-L8D1-gBmwKbH7btkpBI2U-VG	B08NPRQPZY	28.31		28.03	fixed	5	26.90																	
