amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba	order-invoice-type
402-9812350-8678762	402-9812350-8678762	2023-08-23T17:25:27+00:00	2023-08-23T17:26:32+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT® vis à aggloméré de qualité supérieure | 4,5 x 45mm Lot de 500 | avec nervures de fraisage, vis a bois, vis bois torx, vis de terrasse	ZB-6HT1-7T8R	B08GJ7T4JX	Unshipped	1	EUR	30.49								Ostricourt		59162	FR		false			false	
406-4029878-9493935	406-4029878-9493935	2023-08-22T10:17:54+00:00	2023-08-23T17:15:25+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Pied à biche de qualité supérieure | 800 x 18 mm | En acier spécial | Pour clous, fentes de clous, pied de biche | Grattoir à burin, pi	2I-PB7C-OYPH_FBM	B09BZLK44P	Shipped	1	EUR	27.99	4.67							BOEGE		74420	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
406-8892503-3799558	406-8892503-3799558	2023-08-23T16:53:41+00:00	2023-08-23T16:55:56+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT premium Entretoises pour lames de terrasse | 200 pièces - 4 mm | Entretoises Terrassfix, entretoises pour lames de terrasse, entretoises pl	A6-Q9GJ-WQ5E	B09446V6XJ	Unshipped	1	EUR	24.99								Premanon		39220	FR		false			false	
405-2221551-4286734	405-2221551-4286734	2023-08-23T13:30:24+00:00	2023-08-23T16:51:44+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Lot de 120 cales de qualité supérieure en plastique ?Cales de Montage ?pour parquet, carrelage et bien plus encore ?Coins d'Installation	5P-3IB4-A2UC	B07ZPBP9G6	Shipped	1	EUR	21.99	3.67							Marseille		13006	FR		false			false	
407-7728550-0049104	407-7728550-0049104	2023-08-18T16:59:33+00:00	2023-08-23T16:50:17+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 60 mm 200 piï¿½ces TX25 | Dentelle coupï¿½e | Vis ï¿½ bo	60-J3H9-BG7K	B08S212QHB	Unshipped	1	EUR	34.99								Toulon		83100	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
406-3822009-4490729	406-3822009-4490729	2023-08-21T11:32:29+00:00	2023-08-23T16:23:04+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT® vis à aggloméré de qualité supérieure | 4,0 x 70 mm Lot de 200 | avec nervures de fraisage, vis a bois, vis bois torx, vis de terrass	U9-D5IA-8F7Z	B08GJ7NP4W	Shipped	1	EUR	25.99	4.33							Meillerie		74500	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
404-1980034-1563505	404-1980034-1563505	2023-08-23T07:31:31+00:00	2023-08-23T16:22:56+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 300 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	4B-9EAW-HI3A	B09RQ7P7WV	Shipped	1	EUR	28.49	4.75							Ohnenheim		67390	FR		false			false	
404-0469063-1267548	404-0469063-1267548	2023-08-22T16:21:54+00:00	2023-08-23T16:22:54+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT premium Entretoises pour lames de terrasse | 500 pièces - 4 mm | Entretoises Terrassfix, entretoises pour lames de terrasse, entretoises pl	U1-3J8F-95E1	B0944899KY	Shipped	1	EUR	42.49	7.08							Lizy-sur-Ourcq	France	77440	FR		false			false	
171-5839530-9021162	171-5839530-9021162	2023-08-02T15:06:39+00:00	2023-08-23T16:22:45+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 50 mm 200 pièces | Dentelle coupée | Vis à bois, Nervures de f	A5-M669-W35F	B09GKTR4CL	Shipped	1	EUR	27.99	4.67							St Julien Maumont		19500	FR		false			false	
405-5908277-3645138	405-5908277-3645138	2023-08-22T07:02:19+00:00	2023-08-23T16:22:38+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 60 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	60-J3H9-BG7K	B08S212QHB	Shipped	1	EUR	34.64	5.77							mericourt		62680	FR	Free Shipping 2017/10/17 17-17-37-677	true		Business Price	false	
404-3421729-1239563	404-3421729-1239563	2023-08-23T07:47:05+00:00	2023-08-23T16:22:28+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® vis à aggloméré de qualité supérieure | 3,5 x 20 mm Lot de 500 | avec nervures de fraisage, vis a bois, vis bois torx, vis de terrass	JZ-KPUW-ZP2O	B08GJ6XSWW	Shipped	1	EUR	18.99	3.17							vallabrix		30700	FR		false			false	
404-3421729-1239563	404-3421729-1239563	2023-08-23T07:47:05+00:00	2023-08-23T16:22:28+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® vis à aggloméré de qualité supérieure | 3,5 x 16 mm Lot de 500 | avec nervures de fraisage, vis a bois, vis bois torx, vis de terrass	XH-8YPM-21QY	B08GJ7ZX76	Shipped	1	EUR	18.49	3.08							vallabrix		30700	FR		false			false	
