amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba	order-invoice-type
028-1639720-8508304	028-1639720-8508304	2023-08-28T05:29:46+00:00	2023-08-28T13:21:33+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Profilverbindungsschrauben | 3,9 x 11 mm | 500 Stück | Metallprofileschrauben, Profil Schrauben, Blechschrauben schwarz, Trockenb	2R-KNCM-T7QB	B08GFWYC7M	Shipped	1	EUR	15.34	2.45							Kalenborn	RLP	53505	DE		true		Business Price	false	
302-3483180-2543506	302-3483180-2543506	2023-08-27T07:17:45+00:00	2023-08-28T13:21:25+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Nageleisen | 500 x 18 mm, Brecheisen aus Spezialstahl | Nageleisen, Nagelschlitze, Stemmeisen, Brechstange, Meisselschaber, Breche	RI-ZWH8-BLFL_FBM	B09BZM7W2J	Shipped	1	EUR	21.99	3.51							Duderstadt	Niedersachsen	37115	DE		false			false	
306-7511479-2270722	306-7511479-2270722	2023-08-27T07:56:31+00:00	2023-08-28T13:21:19+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Unterlegplatten | 60 x 40 mm, 1,5 mm weiß - 250 Stk. | Abstandshalter, Plättchen aus Kunststoff, Distanzplatten, Klötze, Unterl	SS-AOGO-KFY6	B08SCFX42D	Shipped	1	EUR	25.99	4.15							Nottuln	Nordrhein-Westfalen	48301	DE		false			false	
302-0283851-9785147	302-0283851-9785147	2023-08-27T18:05:23+00:00	2023-08-28T13:21:01+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Nageleisen | 800 x 18 mm, Brecheisen aus Spezialstahl | Nageleisen, Nagelschlitze, Stemmeisen, Brechstange, Meisselschaber, Breche	2I-PB7C-OYPH_FBM	B09BZLK44P	Shipped	1	EUR	26.99	4.31							Leipzig	Sachsen	04317	DE		false			false	
304-1067704-8313909	304-1067704-8313909	2023-08-25T18:39:16+00:00	2023-08-28T13:20:46+00:00	Shipped	Amazon	Amazon.de		Standard	INNONEXXT® Premium Unterlegplatten | 60 x 40 mm, 80 Stk | Abstandshalter, Plättchen aus Kunststoff, Unterlegklotz, Distanzhalter | Tragfähigkeit bi	RI-897L-YJHU	B08SCJC5BX	Shipped	1	EUR	27.96	4.46							Berlin	Berlin	10587	DE		false			false	
305-2601886-2874759	305-2601886-2874759	2023-08-27T16:29:33+00:00	2023-08-28T13:20:33+00:00	Shipped	Amazon	Amazon.de		Standard	INNONEXXT® Premium Winkelverbinder | 25 Stück 50 x 50 x 40 x 2 mm | Winkel, Winkelhalterung, L-Winkel, Metallwinkel, Stuhlwinkel, Stahlwinkel, Schwe	II-HPXR-APRD	B09BVQ8NF3	Shipped	1	EUR	15.49	2.47							Wittenburg	Mecklenburg-Vorpommern	19243	DE		false			false	
305-0120499-3023570	305-0120499-3023570	2023-08-27T17:45:01+00:00	2023-08-28T13:20:25+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Kunststoff Keile | Made in Germany | Plastik Keile, Montagekeile, Distanzkeile aus Kunststoff (125 x Keile MIX mit Montagehilfe)	U2-DNA6-EOTD	B07ZPD57TS	Shipped	1	EUR	27.72	4.62							Linz	Oberösterreich	4040	AT		false			false	
306-0022608-7511526	306-0022608-7511526	2023-08-27T12:12:18+00:00	2023-08-28T13:20:20+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Edelstahl Terrassenschrauben A2 inkl. Bit | 5,0 x 40 mm 200 Stück TX25 | Fräsrippen, Cut-Spitze | Holz- Universalschrauben gleit	02-ZCJX-YMEJ	B08RP6J47J	Shipped	1	EUR	26.99	4.31							Mannheim		68165	DE		false			false	
302-5702169-4003563	302-5702169-4003563	2023-08-27T06:23:57+00:00	2023-08-28T13:20:08+00:00	Shipped	Amazon	Amazon.de		Standard	INNONEXXT® Premium Schnellbauschraube mit Grobgewinde | 3,9 x 35 mm | Gipskarton-Schraube, Rigipsschrauben, Trockenwandschrauben, Universalschrauben	4A-35OW-BLG1	B08GD16NK3	Shipped	2	EUR	34.98	5.58	3.99	0.64					Mosbach	Baden Würtenberg	74821	DE		false			false	
306-4060511-1486769	306-4060511-1486769	2023-08-28T08:43:32+00:00	2023-08-28T13:19:36+00:00	Shipped	Amazon	Amazon.de		Expedited	INNONEXXT® Premium Turbo Diamanttrennscheibe | 230/22,23/2,4/10 | heißgepresste Turbodiamantsegmente longlife, gehärteten Stahl | Trocken.- und Nas	YH-XKM8-ZR3B	B09BNG1QG5	Shipped	1	EUR	24.99	3.99							Schwabach		91126	DE		false			false	
