amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba	order-invoice-type
408-9392098-8283540	408-9392098-8283540	2023-08-28T08:35:09+00:00	2023-08-28T16:23:57+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Lot de 100 vis d'ajustement de qualité supérieure - 6 x 100mm, T30 - Bleu galvanisé - Acier - Rainures de fraisage - Pointe coupée, T?	7H-B0F3-YDBF	B08XFKLXZZ	Shipped	1	EUR	26.99	4.5							DOUZY		08140	FR		false			false	
408-1785913-4609939	408-1785913-4609939	2023-08-28T08:33:19+00:00	2023-08-28T16:24:56+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 50 mm 200 pièces | Dentelle coupée | Vis à bois, Nervures de f	A5-M669-W35F	B09GKTR4CL	Shipped	1	EUR	27.99	4.67							Parey sous montfort		88800	FR		false			false	
171-8237358-2140344	171-8237358-2140344	2023-08-28T08:27:10+00:00	2023-08-29T13:30:49+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 60 mm 200 pièces | Dentelle coupée | Vis à bois, Nervures de f	UA-0KEE-NJEO	B09GKVXT43	Shipped	2	EUR	60.78	10.14							ST LOUIS		68300	FR		false			false	
408-8601186-3205918	408-8601186-3205918	2023-08-28T08:14:56+00:00	2023-08-28T21:19:22+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 50 mm 200 pièces | Dentelle coupée | Vis à bois, Nervures de f	A5-M669-W35F	B09GKTR4CL	Shipped	1	EUR	27.99	4.67							Mormaison		85260	FR		false			false	
408-9413143-7797158	408-9413143-7797158	2023-08-28T08:10:58+00:00	2023-08-28T19:05:25+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Rouleau de papier abrasif Premium | 6 pièces, 93 mm x 5 m | papier de verre, papier de verre, papier poncer bois, feuille abrasive, bloc de	K9-EVG4-MYQB	B09QJTMLDK	Shipped	1	EUR	18.97								La Gaillarde	France	76740	FR		true		Business Price	false	
405-8252492-7773136	405-8252492-7773136	2023-08-28T07:46:12+00:00	2023-08-28T21:56:26+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Entretoises avec aide au montage | 300 pièces, Mix - 60 x 45 mm | Cales, entretoises, écarteurs, plaques en plastique, plaqu	ZJ-O015-RGNY	B07P589646	Shipped	1	EUR	37.94								trosly-breuil		60350	FR		true		Business Price	false	
403-6114651-5013960	403-6114651-5013960	2023-08-28T07:18:57+00:00	2023-08-28T13:26:19+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 40 mm 200 piï¿½ces TX25 | Dentelle coupï¿½e | Vis ï¿½ bo	02-ZCJX-YMEJ	B08RP6J47J	Shipped	1	EUR	28.99	4.83	4.16					4.16	Lucon		85400	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
171-5604059-0537114	171-5604059-0537114	2023-08-28T06:52:20+00:00	2023-08-29T13:31:13+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 60 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	60-J3H9-BG7K	B08S212QHB	Shipped	1	EUR	34.99	5.83	1.38					1.38	LES HOUCHES		74310	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
406-4078364-8260356	406-4078364-8260356	2023-08-28T05:36:36+00:00	2023-08-29T03:47:14+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT vis d'ajustage de haute qualitï¿½ | 100 pcs 6 x 90 mm, T30 Bleu zinguï¿½ | vis inox, vis bois, vis a bois, Rainures de fraisage, Cut P	SV-MF6Q-7K4T	B08XFQC1K5	Shipped	1	EUR	28.29	4.72							Saint Aquilin De Corbion		61380	FR		false			false	
406-1891730-3705911	406-1891730-3705911	2023-08-28T02:00:15+00:00	2023-08-28T02:16:12+00:00	Cancelled	Amazon	Amazon.fr		Standard	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 600 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	GJ-6IO8-W0G9	B07ZPBVDLY	Cancelled	0										Montesquieu volvestre		31310	FR		false			false	
